Index,Index Membership,Regions,Sub-Regions,Country,Company Name,Refinitiv,FIT Industry,Primary Business Tag,Business Tags,Business Overview,NACE Industry,ESI Survey Component,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
82,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Amplifon,Electrical Utilities & IPPs,Utilities,utilities,utilities;electricity_generation;waste_management;water_utilities,"Generates, distributes and supplies electricity and gas, with additional activities or exposure across waste management, water and environmental services.",Manufacturing,INDU,,IT0004056880,B14NJ71,,,AMP,XMIL,Borsa Italiana,EUR
83,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Avio,Healthcare Equipment & Supplies,Medical Devices,hearing_care,hearing_care;medical_devices;healthcare_services,"Provides hearing-care products, technologies and related healthcare services.",Manufacturing,INDU,,IT0005119810,,,,AVIO,XMIL,Borsa Italiana,EUR
84,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Azimut Holding SpA,Aerospace & Defense,Aerospace & Defense,space_technology,space_technology;aerospace_propulsion;launch_systems,"Develops space-launch systems, propulsion technologies and aerospace components.",Financial and insurance activities,SERV,,IT0003261697,,,,AZM,XMIL,Borsa Italiana,EUR
85,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Banco BPM SpA,Investment Banking & Investment Services,Investment Services,asset_management,asset_management;wealth_management;investment_services,"Provides asset-management, investment and related advisory services for private and institutional clients.",Financial and insurance activities,SERV,,IT0005218380,,,,BAMI,XMIL,Borsa Italiana,EUR
86,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Brunello Cucinelli,Banking Services,Banking,banking,banking;retail_banking;corporate_banking,"Provides retail, commercial and corporate banking services, with additional activities or exposure across insurance and investment products.",Manufacturing,INDU,,IT0004764699,,,,BC,XMIL,Borsa Italiana,EUR
87,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Banca Mediolanum SpA,Textiles & Apparel,Textiles & Apparel,luxury_goods,luxury_goods;fashion;apparel,"Designs, manufactures and markets luxury apparel, accessories and related fashion products.",Financial and insurance activities,SERV,,IT0004776628,,,,BMED,XMIL,Borsa Italiana,EUR
88,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Banca Monte dei Paschi di Siena SpA,Banking Services,Banking,banking,banking;asset_management;insurance,"Provides retail banking, asset-management and insurance services.",Financial and insurance activities,SERV,,IT0005508921,,,,BMPS,XMIL,Borsa Italiana,EUR
89,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Bper Banca SpA,Banking Services,Banking,banking,banking;private_banking;asset_management,"Provides retail, corporate and private banking services, with additional activities or exposure across asset management and insurance.",Financial and insurance activities,SERV,,IT0000066123,,,,BPE,XMIL,Borsa Italiana,EUR
90,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Buzzi,Banking Services,Banking,banking,banking;commercial_banking;retail_banking,"Provides retail, commercial and corporate banking services.",Construction,BUIL,,IT0001347308,,,,BZU,XMIL,Borsa Italiana,EUR
91,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Davide Campari Milano Nv,Construction Materials,Construction Materials,construction_materials,construction_materials;cement;aggregates,"Produces and distributes cement, concrete, aggregates and related construction materials.",Manufacturing,INDU,,NL0015435975,BMQ5W17,,,CPR,XMIL,Borsa Italiana,EUR
92,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Diasorin,Beverages,Food & Beverage,beverages,beverages;spirits;consumer_brands,"Produces and distributes branded spirits, aperitifs and related alcoholic beverages.",Manufacturing,INDU,,IT0003492391,B234WN9,,,DIA,XMIL,Borsa Italiana,EUR
93,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Enel,Healthcare Equipment & Supplies,Medical Devices,diagnostics,diagnostics;medical_devices;laboratory_testing,"Develops, manufactures and markets diagnostic testing products, technologies and services.","Electricity, gas, steam and air conditioning supply",SERV,S71445696,IT0003128367,7144569,,,ENEL,XMIL,Borsa Italiana,EUR
94,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Eni,Electrical Utilities & IPPs,Utilities,utilities,utilities;renewable_energy;electricity_generation;energy_services,"Generates, distributes and supplies electricity and gas, with additional activities or exposure across renewable energy and energy infrastructure.",Mining and quarrying,INDU,S71450563,IT0003132476,7145056,,,ENI,XMIL,Borsa Italiana,EUR
95,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Finecobank Banca Fineco,Oil & Gas,Oil & Gas,oil_gas,oil_gas;lng;petrochemicals;energy_trading,"Explores, produces, refines and markets oil and natural gas, with additional activities or exposure across LNG, electricity and petrochemicals.",Financial and insurance activities,SERV,,IT0000072170,BNGN9Z1,,,FBK,XMIL,Borsa Italiana,EUR
96,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Fincantieri,Banking Services,Banking,digital_banking,digital_banking;brokerage;wealth_management,"Provides digital banking, brokerage, investment and wealth-management services.",Manufacturing,,,"	IT0005599938",,,,FCT,XMIL,Borsa Italiana,EUR
97,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Assicurazioni Generali,"Machinery, Equipment & Components",Machinery,shipbuilding,shipbuilding;naval_vessels;defense_manufacturing,"Designs, manufactures and services commercial and naval vessels, with additional activities or exposure across offshore and defence technologies.",Financial and insurance activities,SERV,S40567190,IT0000062072,4056719,,,G,XMIL,Borsa Italiana,EUR
98,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Hera SpA,Insurance,Insurance,insurance,insurance;asset_management;banking,"Provides insurance, investment and related financial services, with additional activities or exposure across asset management and banking.","Electricity, gas, steam and air conditioning supply",SERV,,IT0001250932,,,,HER,XMIL,Borsa Italiana,EUR
99,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Italgas SpA,Multiline Utilities,Utilities,utilities,utilities;water_utilities;waste_management;energy_services,"Generates and supplies electricity and gas, with additional activities or exposure across water, waste-management and environmental services.","Electricity, gas, steam and air conditioning supply",SERV,,IT0005211237,,,,IG,XMIL,Borsa Italiana,EUR
100,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Infrastrutture Wireless Italiane,Natural Gas Utilities,Utilities,gas_distribution,gas_distribution;energy_infrastructure;utilities,Operates natural-gas distribution networks and related energy infrastructure services.,Information and communication,SERV,,IT0005090300,BZ0P4R4,,,INW,XMIL,Borsa Italiana,EUR
101,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Intesa Sanpaolo,Telecommunications Services,Telecommunications,communications_infrastructure,communications_infrastructure;wireless_networks;digital_connectivity,Operates wireless communications infrastructure and related connectivity services.,Financial and insurance activities,SERV,S40768368,IT0000072618,4076836,,,ISP,XMIL,Borsa Italiana,EUR
102,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Iveco Group NV,Banking Services,Banking,banking,banking;investment_banking;asset_management;private_banking,"Provides retail, corporate and investment banking services, with additional activities or exposure across asset management, private banking and insurance.",Manufacturing,INDU,,NL0015000LU4,,,,IVG,XMIL,Borsa Italiana,EUR
103,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Leonardo SpA,"Machinery, Equipment & Components",Machinery,commercial_vehicles,commercial_vehicles;powertrain_systems;defense_vehicles,"Designs, manufactures and markets commercial vehicles, powertrain systems and related mobility solutions.",Manufacturing,INDU,,IT0003856405,,,,LDO,XMIL,Borsa Italiana,EUR
104,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Lottomatica Group,Aerospace & Defense,Aerospace & Defense,aerospace_defense,aerospace_defense;defense_systems;space_technology,"Develops aerospace, defence, security and space technologies.","Arts, entertainment and recreation",,,IT0005541336,,,,LTMC,XMIL,Borsa Italiana,EUR
105,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Mediobanca Banca Di Credito Finanz,Hotels & Entertainment Services,"Leisure, Hospitality & Travel",gaming,gaming;betting;digital_gaming,"Operates betting, gaming and lottery platforms, with additional activities or exposure across online gaming and entertainment services.",Financial and insurance activities,SERV,S45748134,IT0000062957,4574813,,,MB,XMIL,Borsa Italiana,EUR
106,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Moncler,Banking Services,Banking,investment_banking,investment_banking;wealth_management;consumer_finance,"Provides corporate and investment banking services, with additional activities or exposure across consumer finance and wealth management.",Manufacturing,INDU,,IT0004965148,BGLP232,,,MONC,XMIL,Borsa Italiana,EUR
107,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Nexi,Textiles & Apparel,Textiles & Apparel,luxury_goods,luxury_goods;fashion;outerwear,"Designs, manufactures and markets luxury apparel, outerwear and fashion accessories.","Professional, scientific and technical activities",SERV,,IT0005366767,BJ1F880,,,NEXI,XMIL,Borsa Italiana,EUR
108,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Prysmian,Professional & Commercial Services,Professional Services,payment_processing,payment_processing;digital_payments;digital_banking,"Develops payment technologies, digital banking infrastructure and financial technology services.",Manufacturing,INDU,,IT0004176001,B1W4V69,,,PRY,XMIL,Borsa Italiana,EUR
109,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Poste Italiane,"Machinery, Equipment & Components",Machinery,electrical_equipment,electrical_equipment;power_cables;telecommunications_infrastructure,"Designs, manufactures and supplies energy and telecommunications cable systems and related technologies.",Transportation and storage,SERV,,IT0003796171,BYYN701,,,PST,XMIL,Borsa Italiana,EUR
110,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Ferrari Nv,Freight & Logistics Services,Logistics,postal_services,postal_services;logistics;financial_services;insurance,"Provides postal, logistics, financial, payment and insurance services.",Manufacturing,INDU,,NL0011585146,BD6G507,,,RACE,XMIL,Borsa Italiana,EUR
111,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Recordati Industria Chimica E Farm,Automobiles & Auto Parts,Automotive,luxury_vehicles,luxury_vehicles;automotive;vehicle_finance,"Designs, manufactures and markets luxury sports cars, with additional activities or exposure across financial services.",Manufacturing,INDU,,IT0003828271,B07DRZ5,,,REC,XMIL,Borsa Italiana,EUR
112,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Saipem SpA,Pharmaceuticals,Pharmaceuticals,pharmaceuticals,pharmaceuticals;rare_diseases;consumer_health,"Develops, manufactures and markets pharmaceutical products, with additional activities or exposure across rare diseases.",Mining and quarrying,INDU,,IT0000068525,,,,SPM,XMIL,Borsa Italiana,EUR
113,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Snam,Oil & Gas Related Equipment and Services,Energy Equipment & Services,engineering_services,engineering_services;offshore_energy;oilfield_services,"Provides engineering, procurement, construction and drilling services for global energy infrastructure.","Electricity, gas, steam and air conditioning supply",SERV,S72514706,IT0003153415,7251470,,,SRG,XMIL,Borsa Italiana,EUR
114,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Stellantis Nv,Oil & Gas Related Equipment and Services,Energy Equipment & Services,gas_infrastructure,gas_infrastructure;gas_transmission;energy_storage,"Operates natural-gas transmission, storage, regasification and distribution infrastructure.",Manufacturing,INDU,,NL00150001Q9,BMD8KX7,,,STLAM,XMIL,Borsa Italiana,EUR
115,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,STMicroelectronics NV,Automobiles & Auto Parts,Automotive,automotive,automotive;commercial_vehicles;mobility,"Designs, manufactures and markets passenger and commercial vehicles, with additional activities or exposure across mobility services.",Manufacturing,INDU,,,,,,STMMI,XMIL,Borsa Italiana,EUR
116,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Tenaris Sa,Semiconductors & Semiconductor Equipment,Semiconductors,semiconductors,semiconductors;automotive_electronics;industrial_electronics,"Designs, manufactures and markets semiconductor technologies for automotive, industrial and consumer markets.","Electricity, gas, steam and air conditioning supply",SERV,S75385153,LU0156801721,7538515,,,TEN,XMIL,Borsa Italiana,EUR
117,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Telecom Italia,Oil & Gas Related Equipment and Services,Energy Equipment & Services,oilfield_equipment,oilfield_equipment;steel_tubing;industrial_services,Produces steel tubular products and related industrial services for the energy sector.,Information and communication,SERV,S76343946,IT0003497168,7634394,,,TIT,XMIL,Borsa Italiana,EUR
118,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Terna Rete Elettrica Nazionale,Telecommunications Services,Telecommunications,telecommunications,telecommunications;broadband;digital_connectivity,"Provides telecommunications, broadband, mobile and digital connectivity services.","Electricity, gas, steam and air conditioning supply",SERV,,IT0003242622,B01BN57,,,TRN,XMIL,Borsa Italiana,EUR
119,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Unicredit,Electrical Utilities & IPPs,Utilities,electricity_transmission,electricity_transmission;grid_infrastructure;utilities,Operates electricity transmission infrastructure and related grid-management services.,Financial and insurance activities,SERV,,IT0005239360,BYMXPS7,,,UCG,XMIL,Borsa Italiana,EUR
120,FTSE MIB,"Europe, The Middle East and Africa",Southern Europe,Italy,Unipol Gruppo SpA,Banking Services,Banking,banking,banking;investment_banking;wealth_management,"Provides retail, commercial and investment banking services, with additional activities or exposure across wealth management and insurance.",Financial and insurance activities,SERV,,IT0004810054,,,,UNI,XMIL,Borsa Italiana,EUR
121,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Acs Actividades De Construccion Y,Insurance,Insurance,insurance,insurance;banking;financial_services,"Provides insurance and related financial services, with additional activities or exposure across banking and investment products.",Construction,BUIL,,ES0167050915,B01FLQ6,,,ACS,BMEX,Bolsas y Mercados Espanoles,EUR
122,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Acerinox,Banking Services,Banking,banking,banking;commercial_banking;digital_banking,"Provides retail and commercial banking services, with additional activities or exposure across mortgages, investment products and insurance.",Mining and quarrying,INDU,,,,,,ACX,BMEX,Bolsas y Mercados Espanoles,EUR
123,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Aena Sme Sa,Construction & Engineering,Construction & Engineering,infrastructure,infrastructure;engineering_services;transportation_infrastructure,"Develops, constructs and operates infrastructure assets, with additional activities or exposure across engineering, renewable energy and maintenance services.",Transportation and storage,SERV,,ES0105046009,BVRZ8L1,,,AENA,BMEX,Bolsas y Mercados Espanoles,EUR
124,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Amadeus It Group Sa,Metals & Mining,Mining,steel,steel;industrial_materials;mining,Produces and distributes stainless-steel products and related industrial materials.,Information and communication,SERV,,ES0109067019,B3MSM28,,,AMS,BMEX,Bolsas y Mercados Espanoles,EUR
125,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Acciona Sa,Transport Infrastructure,Transportation Infrastructure,airport_operations,airport_operations;transportation_infrastructure;commercial_real_estate,"Operates airports and related aviation, commercial and infrastructure services.",Construction,BUIL,S55791073,ES0125220311,5579107,,,ANA,BMEX,Bolsas y Mercados Espanoles,EUR
126,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Corporacion Acciona Energias Renov,Software & IT Services,Software & Digital Services,travel_technology,travel_technology;reservation_systems;enterprise_software,"Develops travel technology platforms, reservation systems and digital solutions for the travel industry.","Electricity, gas, steam and air conditioning supply",SERV,,ES0105563003,BP7L895,,,ANE,BMEX,Bolsas y Mercados Espanoles,EUR
127,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Banco Bilbao Vizcaya Argentaria Sa,Construction & Engineering,Construction & Engineering,infrastructure,infrastructure;renewable_energy;engineering_services,"Develops, constructs and operates renewable-energy assets and infrastructure, with additional activities or exposure across engineering and water services.",Financial and insurance activities,SERV,S55019061,ES0113211835,5501906,,,BBVA,BMEX,Bolsas y Mercados Espanoles,EUR
128,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Bankinter,Electrical Utilities & IPPs,Utilities,renewable_energy,renewable_energy;electricity_generation;energy_services,"Generates renewable electricity, with additional activities or exposure across energy infrastructure and industrial services.",Financial and insurance activities,SERV,,,,,,BKT,BMEX,Bolsas y Mercados Espanoles,EUR
129,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Caixabank Sa,Banking Services,Banking,banking,banking;investment_banking;asset_management;insurance,"Provides retail, commercial and investment banking services, with additional activities or exposure across asset management, private banking and insurance.",Financial and insurance activities,SERV,,ES0140609019,B283W97,,,CABK,BMEX,Bolsas y Mercados Espanoles,EUR
130,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Cellnex Telecom Sa,Banking Services,Banking,banking,banking;consumer_finance;asset_management,"Provides retail, commercial and consumer banking services, with additional activities or exposure across investment management.",Information and communication,SERV,,ES0105066007,BX90C05,,,CLNX,BMEX,Bolsas y Mercados Espanoles,EUR
131,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Inmobiliaria Colonial,Banking Services,Banking,banking,banking;insurance;investment_services,"Provides retail, commercial and corporate banking services, with additional activities or exposure across insurance and investments.",Real estate activities,SERV,,,,,,COL,BMEX,Bolsas y Mercados Espanoles,EUR
132,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Endesa Sa,Telecommunications Services,Telecommunications,communications_infrastructure,communications_infrastructure;wireless_networks;telecommunications,Operates wireless telecommunications infrastructure and related connectivity services.,"Electricity, gas, steam and air conditioning supply",SERV,S52717824,ES0130670112,5271782,,,ELE,BMEX,Bolsas y Mercados Espanoles,EUR
133,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Enagas Sa,Residential & Commercial REIT,Real Estate Investment Trusts (REITs),commercial_real_estate,commercial_real_estate;office_property;property_management,"Owns, develops and manages commercial real-estate assets, with additional activities or exposure across flexible office space.","Electricity, gas, steam and air conditioning supply",SERV,S73830721,ES0130960018,7383072,,,ENG,BMEX,Bolsas y Mercados Espanoles,EUR
134,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Fluidra,Electrical Utilities & IPPs,Utilities,utilities,utilities;electricity_generation;energy_services,"Generates, distributes and supplies electricity and gas, with additional activities or exposure across energy services.",Manufacturing,INDU,,,,,,FDR,BMEX,Bolsas y Mercados Espanoles,EUR
135,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Ferrovial Se,Oil & Gas Related Equipment and Services,Energy Equipment & Services,gas_infrastructure,gas_infrastructure;lng;energy_storage,"Operates natural-gas transmission, storage and regasification infrastructure.",Construction,BUIL,,NL0015001FS8,BRS7CF0,,,FER,BMEX,Bolsas y Mercados Espanoles,EUR
136,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Grifols Sa Class A,Leisure Products,Leisure Products,pool_equipment,pool_equipment;water_treatment;wellness,"Designs, manufactures and supplies swimming-pool, wellness and water-treatment products.",Manufacturing,INDU,,ES0171996087,BYY3DX6,,,GRF,BMEX,Bolsas y Mercados Espanoles,EUR
137,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,International Airlines Group,Construction & Engineering,Construction & Engineering,infrastructure,infrastructure;transportation_infrastructure;airport_operations,"Develops, finances and operates transport, airport and energy infrastructure assets.",Transportation and storage,SERV,,,,,,IAG,BMEX,Bolsas y Mercados Espanoles,EUR
138,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Iberdrola Sa,Pharmaceuticals,Pharmaceuticals,plasma_therapeutics,plasma_therapeutics;diagnostics;medical_devices,"Develops, manufactures and markets plasma-derived medicines, diagnostics and related healthcare technologies.","Electricity, gas, steam and air conditioning supply",SERV,,ES0144580Y14,B288C92,,,IBE,BMEX,Bolsas y Mercados Espanoles,EUR
139,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Indra,Passenger Transportation Services,Transportation,airlines,airlines;cargo;loyalty_programmes,"Provides passenger and cargo airline services, with additional activities or exposure across aircraft maintenance and loyalty programmes.",Information and communication,SERV,,,,,,IDR,BMEX,Bolsas y Mercados Espanoles,EUR
140,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Industria De Diseno Textil Inditex,Passenger Transportation Services,Transportation,airlines,airlines;cargo_transport;aircraft_maintenance,Operates international passenger airlines and aviation support businesses.,Wholesale and retail trade; repair of motor vehicles and motorcycles,SERV,,ES0148396007,BP9DL90,,,ITX,BMEX,Bolsas y Mercados Espanoles,EUR
141,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Logista,Electrical Utilities & IPPs,Utilities,utilities,utilities;renewable_energy;electricity_generation,"Generates, distributes and supplies electricity and gas, with additional activities or exposure across renewable energy and energy infrastructure.",Transportation and storage,SERV,,,,,,LOG,BMEX,Bolsas y Mercados Espanoles,EUR
142,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Mapfre,Software & IT Services,Software & Digital Services,digital_transformation,digital_transformation;defense_technology;enterprise_software,"Provides consulting, digital transformation and technology services, with additional activities or exposure across defence, aerospace and air-traffic management.",Financial and insurance activities,SERV,,,,,,MAP,BMEX,Bolsas y Mercados Espanoles,EUR
143,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Merlin Properties,Specialty Retailers,Retail,fashion_retail,fashion_retail;apparel;home_furnishings,"Designs, manufactures and markets apparel, footwear, fashion accessories and home furnishings.",Real estate activities,SERV,,,,,,MRL,BMEX,Bolsas y Mercados Espanoles,EUR
144,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,ArcelorMittal,Freight & Logistics Services,Logistics,logistics,logistics;distribution;supply_chain_services,"Provides logistics, distribution and supply-chain services across multiple industries.",Mining and quarrying,INDU,,,,,,MTS,BMEX,Bolsas y Mercados Espanoles,EUR
145,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Naturgy Energy Sa,Insurance,Insurance,insurance,insurance;reinsurance;asset_management,"Provides insurance, reinsurance and related financial services, with additional activities or exposure across asset management.","Electricity, gas, steam and air conditioning supply",SERV,S56504228,ES0116870314,5650422,,,NTGY,BMEX,Bolsas y Mercados Espanoles,EUR
146,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Puig,Residential & Commercial REIT,Real Estate Investment Trusts (REITs),commercial_real_estate,commercial_real_estate;logistics_real_estate;shopping_centres,"Owns, develops and manages commercial real-estate assets.",Wholesale and retail trade; repair of motor vehicles and motorcycles,SERV,,,,,,PUIG,BMEX,Bolsas y Mercados Espanoles,EUR
147,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Redeia Corporacion Sa,Metals & Mining,Mining,mining,mining;steel;iron_ore,"Produces steel and related metal products, with additional activities or exposure across iron-ore and coal mining.","Electricity, gas, steam and air conditioning supply",SERV,,ES0173093024,BD6FXN3,,,RED,BMEX,Bolsas y Mercados Espanoles,EUR
148,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Repsol Sa,Natural Gas Utilities,Utilities,utilities,utilities;natural_gas;lng;energy_infrastructure,"Generates, distributes and supplies electricity and gas, with additional activities or exposure across LNG and energy infrastructure.",Mining and quarrying,INDU,S56693542,ES0173516115,5669354,,,REP,BMEX,Bolsas y Mercados Espanoles,EUR
149,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Laboratorios Rovi [es],Specialty Retailers,Retail,beauty_products,beauty_products;fragrances;personal_care,"Develops, manufactures and markets fragrances, cosmetics, beauty and personal-care products.",Manufacturing,INDU,,,,,,ROVI,BMEX,Bolsas y Mercados Espanoles,EUR
150,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Banco Sabadell,Electrical Utilities & IPPs,Utilities,electricity_transmission,electricity_transmission;telecommunications_infrastructure;utilities,Operates electricity transmission and telecommunications infrastructure.,Financial and insurance activities,SERV,,,,,,SAB,BMEX,Bolsas y Mercados Espanoles,EUR
151,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Sacyr,Oil & Gas,Oil & Gas,oil_gas,oil_gas;petrochemicals;renewable_energy,"Explores, produces, refines and markets oil and natural gas, with additional activities or exposure across renewable energy and petrochemicals.",Construction,BUIL,,,,,,SACYR,BMEX,Bolsas y Mercados Espanoles,EUR
152,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Banco Santander Sa,Pharmaceuticals,Pharmaceuticals,pharmaceuticals,pharmaceuticals;diagnostics;contract_manufacturing,"Develops, manufactures and markets pharmaceutical products, with additional activities or exposure across diagnostics and contract manufacturing.",Financial and insurance activities,SERV,S57059461,ES0113900J37,5705946,,,SAN,BMEX,Bolsas y Mercados Espanoles,EUR
153,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Solaria,Banking Services,Banking,banking,banking;wealth_management;insurance,"Provides retail, commercial and corporate banking services, with additional activities or exposure across wealth management and insurance.","Electricity, gas, steam and air conditioning supply",SERV,,,,,,SLR,BMEX,Bolsas y Mercados Espanoles,EUR
154,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Telefonica Sa,Construction & Engineering,Construction & Engineering,infrastructure,infrastructure;engineering_services;water_infrastructure,"Develops, constructs and operates infrastructure assets, with additional activities or exposure across concessions and water services.",Information and communication,SERV,879382109,ES0178430E18,5732524,,,TEF,BMEX,Bolsas y Mercados Espanoles,EUR
155,IBEX 35,"Europe, The Middle East and Africa",Southern Europe,Spain,Unicaja,Electrical Utilities & IPPs,Utilities,renewable_energy,renewable_energy;solar_energy;electricity_generation,"Develops, constructs and operates renewable-energy generation assets, with additional activities or exposure across solar technologies.",Financial and insurance activities,SERV,,,,,,UNI,BMEX,Bolsas y Mercados Espanoles,EUR
156,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Airtel Africa Plc,Telecommunications Services,Telecommunications,telecommunications,telecommunications;broadband;cybersecurity;digital_services,"Provides telecommunications, broadband, mobile and digital connectivity services, with additional activities or exposure across cybersecurity and digital technologies.",Information and communication,,,GB00BKDRYJ47,BKDRYJ4,,,AAF,XLON,London Stock Exchange,GBP
157,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Anglo American Plc,Telecommunications Services,Telecommunications,telecommunications,telecommunications;mobile_payments;digital_infrastructure,"Provides mobile telecommunications, broadband and mobile money services across Africa.",Mining and quarrying,,,GB00B1XZS820,B1XZS82,,,AAL,XLON,London Stock Exchange,GBP
158,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Abrdn Plc,Metals & Mining,Mining,mining,mining;copper;iron_ore;critical_minerals,"Produces copper, iron ore and other mined resources through global mining operations.",Financial and insurance activities,,,GB00BF8Q6K64,BF8Q6K6,,,ABDN,XLON,London Stock Exchange,GBP
159,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Associated British Foods Plc,Investment Banking & Investment Services,Investment Services,asset_management,asset_management;wealth_management;investment_solutions,"Manages investment portfolios, funds and wealth solutions for institutional and retail clients.",Manufacturing,,S06731236,GB0006731235,673123,,,ABF,XLON,London Stock Exchange,GBP
160,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Admiral Group Plc,Food & Tobacco,Food & Beverage,food_manufacturing,food_manufacturing;ingredients;food_retail;agriculture,"Produces food, ingredients and agricultural products while operating the Primark retail chain.",Financial and insurance activities,,,GB00B02J6398,B02J639,,,ADM,XLON,London Stock Exchange,GBP
161,FTSE 100,"Europe, The Middle East and Africa",Western Europe,United Kingdom,Alliance Witan,Insurance,Insurance,insurance,insurance;consumer_finance,Provides personal insurance products alongside consumer lending services.,Financial and insurance activities,,,,,,,ALW,XLON,London Stock Exchange,GBP
